name,joined,age,email,phone,password
Amy,1/1/16,32,amy@amy.com,919-111-1111,password
Bob,2016-02,21,bob@bob@bob.com,9192223333,123456
Cindy,2/3/16,65,cindy@cindy,(919)333-444,monkey
Dan,13/03/2016,78,dan-dan.dan@dan.dan.com,919.444.5555,Password123
Elaine,442016,29,e23@compuserve.net,(1)2-3,dog2CAT@
Frank,7/7/16,43,me@prodigy.com,(919) 555-6666,C a 4 % t J
Ginny,Yesterday,31,iloveninja@turtles.io,000-000-0000,qwerty
Gloria,9/8/16,38,gloria@gmail.com,210-432-4231,Om43tz
Serena,10/21/99,34,serena@gmail.com,903.656.8897,32afew3H!
